row x j
1 -3.5980 0.2426
1 -3.0000 -0.1393
1 -3.0000 0.4787
1 -2.6471 0.0967
1 -2.5882 -0.2852
1 -2.3687 0.3328
1 -2.2152 -0.0492
1 -2.1176 -0.4311
1 -1.8829 0.1869
1 -1.4552 -0.1950
1 -1.4342 0.4230
1 -1.3529 0.0410
1 -1.2601 -0.3409
1 -1.2601 0.2771
1 -1.0858 -0.1049
1 -1.0027 -0.4868
1 -0.9513 0.1312
1 -0.8889 -0.2508
1 -0.8812 0.3673
1 -0.8555 -0.0147
1 -0.8462 -0.3967
1 -0.8077 0.2214
1 -0.7745 -0.1606
1 -0.7424 0.4574
1 -0.6346 0.0755
1 -0.6134 -0.3065
1 -0.4698 0.3115
1 -0.4624 -0.0704
1 -0.4499 -0.4524
1 -0.3030 0.1656
1 -0.2397 -0.2163
1 -0.1439 0.4017
1 -0.1281 0.0197
1 -0.1268 -0.3622
1 -0.1201 0.2558
1 -0.1145 -0.1262
1 -0.0956 0.4919
1 -0.0138 0.1099
1 -0.0012 -0.2721
1 0.0339 0.3460
1 0.0380 -0.0360
1 0.0385 -0.4180
1 0.1037 0.2001
1 0.1346 -0.1819
1 0.1377 0.4361
1 0.1503 0.0542
1 0.1534 -0.3278
1 0.1534 0.2902
1 0.2941 -0.0917
1 0.3555 -0.4737
1 0.3973 0.1443
1 0.5000 -0.2376
1 0.5371 0.3804
1 0.6504 -0.0016
1 0.6670 -0.3835
1 0.6672 0.2345
1 0.6694 -0.1475
1 0.6903 0.4706
1 0.7377 0.0886
1 0.8149 -0.2933
1 0.8279 0.3247
1 1.0556 -0.0573
1 1.1182 -0.4392
1 1.1182 0.1788
1 1.1182 -0.2032
1 1.2205 0.4149
1 1.2788 0.0329
1 1.2992 -0.3491
1 1.5000 0.2690
1 1.5000 -0.1130
1 1.6875 -0.4950
1 1.7751 0.1231
1 1.8357 -0.2589
1 1.9042 0.3591
1 1.9188 -0.0228
1 1.9294 -0.4048
1 2.0000 0.2132
1 2.0000 -0.1687
1 2.1863 0.4493
1 2.1916 0.0673
1 2.2080 -0.3146
1 2.2091 0.3034
1 2.2500 -0.0786
1 2.2500 -0.4605
1 2.2795 0.1575
1 2.3258 -0.2245
1 2.3766 0.3936
1 2.4375 0.0116
1 2.5000 -0.3704
1 2.9118 0.2477
1 2.9477 -0.1343
1 3.0000 0.4837
1 3.0000 0.1018
1 3.0000 -0.2802
1 3.0000 0.3378
1 3.0000 -0.0441
1 3.0000 -0.4261
1 3.0450 0.1919
1 3.2055 -0.1900
1 3.2084 0.4280
1 3.4399 0.0460
1 3.4448 -0.3359
1 3.4756 0.2821
1 3.6667 -0.0999
1 3.6667 -0.4818
1 3.7818 0.1362
1 4.0000 -0.2458
1 4.2500 0.3723
1 4.2500 -0.0097
1 4.2773 -0.3916
1 4.2773 0.2264
1 4.2773 -0.1556
1 4.2773 0.4625
1 4.6297 0.0805
1 4.7362 -0.3015
1 4.9489 0.3166
1 4.9632 -0.0654
1 5.0677 -0.4474
1 5.1737 0.1707
1 5.3191 -0.2113
1 5.3294 0.4067
1 5.3301 0.0248
1 5.3441 -0.3572
1 5.6623 0.2608
1 5.7022 -0.1211
1 5.7340 0.4969
1 5.7364 0.1149
1 5.7435 -0.2670
1 5.7514 0.3510
1 5.7968 -0.0310
1 5.9947 -0.4129
1 6.2500 0.2051
1 6.8718 -0.1769
1 6.8731 0.4412
1 6.8825 0.0592
1 7.0130 -0.3228
1 7.2342 0.2953
1 7.9751 -0.0867
1 7.9781 -0.4687
1 8.5343 0.1494
1 8.6856 -0.2326
1 8.9340 0.3854
1 8.9460 0.0035
1 9.2064 -0.3785
1 9.2973 0.2395
1 9.2973 -0.1424
1 9.3100 0.4756
1 9.3514 0.0936
1 9.3581 -0.2883
1 9.5405 0.3297
1 9.6019 -0.0523
